,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
5377,86aa497f-98c5-4ada-a7a8-7c8f18895bf4,A young permanent incisor with an open apex has a pinpoint exposure due to a traumatic injury that occurred 24 hours previously. The best treatment is,Place calcium hydroxide on the pinpoint exposure,Open the pulp chamber to find healthy pulp tissue and perform a pulpotomy,Initiate a calcium hydroxide pulpectomy,Initiate conventional root canal treatment with gutta-percha,1,single,"Because the exposure site is likely significantly contaminated from the injury that occurred 24 hours previously, direct pulp capping with calcium hydroxide is contraindicated. A calcium hydroxide pulpectomy should not be the automatic procedure accomplished because continued root elongation and closure of the pulp canal will likely not occur. A calcium hydroxide pulpotomy is preferable for a traumatized tooth with an open apex with either a large exposure or a small exposure of several hours or days postinjury. Clinically, the tooth should be anesthetized and, under sterile conditions, and the clinician should open the pulp chamber in search of healthy pulp tissue. It is likely that vital tissue will be present within 24 hours of the injury.",Dental,
5396,b8364251-5fbb-46d0-85ee-9c0a869f2e54,"A 8.5-year-old child with missing 11 reported to your clinic. 21 erupted at 6.5 years of age. The child had trauma to 21, 4 months back and got it endodontically treated for that. What is your further treatment about missing teeth?",Take radiograph and rule out a supernumerary tooth,Plan RPD,Advise FPD,"Do orthodontic treatment, create space and plan FPD",0,multi,"In question patient is of 8.5 years of age with missing right maxillary central incisor and has his Maxillary left Central Incisor Erupted on Schedule.

Now non-eruption of a tooth beyond normal possible age of eruption while the contralateral tooth is being erupted on usual time can be due to its presence in impacted state or it can be congenitally missing.
To rule out of these conditions radiographic examination is essential
If tooth is impacted due to presence of any supernumerary tooth or due to any other region or tooth is congenitally missing we can plan further treatment with that situation.",Dental,
5691,458f0a76-b21f-4abc-976a-f387e0e73052,A 36-year-old female presents with heavy menstrual bleeding. She has one child of 7 years. USG shows a single 3x3 cm submucosal fibroid. Hemoglobin is 10.5 gm/dl. What is the best treatment option for her?,GnRH injection,UAE,Hysteroscopic myomectomy,Laparoscopic myomectomy,2,multi,"Ans. is c, i.e. Hysteroscopic myomectomyThis patient is having heavy menstrual bleeding due to fibroid, i.e. she is symptomatic and hence management has to be done. Best management in fibroid is surgery. Since she is only 36 years and has one child We will go for myomectomy.Submucous fibroid <5cm, should be removed hysteroscopically. [?] Best management is hysteroscopic myomectomy.",Gynaecology & Obstetrics,Miscellaneous (Gynae)
5959,8eef54ce-533c-4949-b808-361194d39bda,A pregnant woman of >35 weeks gestation has SLE. All of the following drugs are used in treatment except:,Methotrexate,Sulfasalazine,Prednisolone,Chloroquine,0,multi,"Methotrexate is very effective in treating Systemic Lupus erythematosus(SLE) but during pregnancy, it can cross the placenta and cause the teratogenic effect to the fetus. The main teratogenic effect caused by Methotrexate is cleft palate, hydrocephalus, multiple defect, and fetal death. ESSENTIALS OF MEDICAL PHARMACOLOGY: SEVENTH EDITION -K.D TRIPATHI Page:862,89",Pharmacology,Immunomodulators
6447,e1b9f157-ac69-4eec-ad90-1e8b3b9e8827,"A 56 year old diabetic man, Damu who regularly consumes nearly 120g alcohol per day, was referred by the PHC physician with history of fatigue, cough with putrid smelling sputum and fever. He has anemia, weight loss, pyorrhea and gingivitis. His chest X-Ray showed some findings which helped the doctor to diagnose his pathology. The true statement regarding treatment of this condition is:",Patients with fever persisting for 5 days should undergo bronchoscopy,Metronidazole is preferred over clindamycin if used alone,Duration of treatment is 7 days,Clindamycin is the initial treatment of choice in this setting,3,multi,"This is a tricky question, here we have a patient with alcoholism with frequent aspirations. On the top of that the patient is diabetic too. He is complaining of fever, weight loss, cough with expectoration with foul smelling sputum, so the first d/d is lung abscess due to anaerobes. Let us see the explanations from harrison: Lung abscess: A common feature is periodontal infection with pyorrhea or gingivitis. The usual symptoms are fatigue, cough, sputum production, and fever. Chills are uncommon. Many patients have evidence of chronic disease, such as weight loss and anemia. Some patients have putrid-smelling sputum indicative of the presence of anaerobes. This is usually treated with clindamycin; the initial IV dose of 600 mg four times daily can be changed to an oral dosage of 300 mg four times daily once the patient becomes afebrile and improves clinically. The duration of therapy is until imaging shows that chest lesions have cleared or have left a small, stable scar. An alternative to clindamycin is any B-lactam/-lactamase inhibitor combination; parenteral treatment may be followed by orally administered amoxicillin/clavulanate. Penicillin was previously regarded as a preferred drug for these infections, but many oral anaerobes produce -lactamases, and clindamycin proved superior to penicillin G in a randomized clinical trial. Metronidazole is highly active against viually all anaerobes but not against aerobic microaerophilic streptococci, which play an impoant role in mixed infections. In therapeutic trials, metronidazole has done poorly unless combined with a -lactam or another agent active against aerobic and microaerophilic streptococci. Patients with fevers persisting for 7-14 days should undergo bronchoscopy. Ref: Harrisons Principles of Medicine, 18th Edition, Chapter 258, Pages 2145-2146",Medicine,
6493,dcbbc4a0-9bf0-49dd-b15e-7e1724ecf1c5,A 15-year-old boy with epilepsy on treatment with a combination of valproate and phenytoin has good control of seizures. Levels of both drugs are in the therapeutic range. All of the following adverse effects can be attributed to valproate except -,Weight gain of 5 kg,Serum alanine aminotransaminase 150 IU/L,Rise in serum ammonia level by 20 g/dl,Lymphadenopathy,3,multi,,Medicine,
6532,80859c3e-539b-46b6-894d-10c3b14eccad,A patient was brought to emergency with complaints of high-grade fever and altered sensorium. He was diagnosed to be suffering from meningococcal meningitis. Which of the following is the most appropriate empirical treatment option?,Ceftriaxone,Piperacillin--Tazobactam,Penicillin,Cotrimoxazole,0,multi,Answer- A. CeftriaxoneMeningococcal meningitisTreatment:3rd generation cephalosporin such as cefotaxime or ceftriaxone is DOC for initial therapyProphylaxis: Rifampicin is DOC for meningococcal prophylaxisANTIBIOTIC RECOMMENDATIONS FOR BACTERIAL MENINGITIS:BACTERIAANTIBIOTIC(IV)DURATIONStreptococcus PneumoniaVancomycin+3rd gen. Cephalosporin(Cefotaxime or ceftriaxone) 10-14 daysNesseria meningitidis3rd gen. Cephalosporin(Cefotaxime or ceftriaxone) orPenicillin G or Ampicillin 5-10 days H.influenza3rd gen. Cephalosporin(Cefotaxime or ceftriaxone) 7-10 days Listeria monocytogensPenicillin G or Ampicillin + Aminoglycocide14-21 days GBSPenicillin G or Ampicillin + Aminoglycocide 14-21 days E.coli 3rd gen. Cephalosporin(Cefotaxime or ceftriaxone) 21 days,Microbiology,
6618,a2390673-39df-408a-a011-d8264a421a47,"A laboratory technician was accidentally exposed to a HIV serum positive sample, which of the following shall be the role of zidovudine in treatment of this patient ?",Protects against acquiring the HIV infection,Makes the patient seronegative,Delays the progression of disease,None,0,multi,,Pharmacology,
6959,b293f3d7-ae14-4e09-97fd-71568f827539,Preferred treatment in a 60years old patient with Maxillary carcinoma involving anterolateral pa of maxilla is,Radiotherapy only,Total/extended Maxillectomy followed by radiotherapy,Radiotherapy followed by total/extened maxillectomy,Total/extended maxillectomy alone,2,single,Treatment of maxillary carcinomas: Early cases with Stage I and II squamous cell carcinomas are treated with surgery or radiation with equal results. T3 and T4 lesions are treated by combined modalities of radiation and surgery. Radiation in such cases may be given preoperatively or postoperatively Ref: Dhingra 7e pg 233.,ENT,Nose and paranasal sinuses
6993,1a93d1b1-43e5-4e0f-9c9e-45f7b054874d,"A 35-year-old man developed headache, nausea, vomiting, and sore throat 8 weeks after returning from a trip abroad. He eventually refused to drink water and had episodes of profuse salivation, difficulty in breathing, and hallucinations. Two days after the patient died of cardiac arrest, it was learned that he had been bitten by a dog while on his trip. Which of the following treatments, if given immediately after the dog bite, could have helped prevent this disease?",Broad-spectrum antibiotics,High-dose acyclovir,IV ribavirin,Rabies immune globulin plus rabies vaccine,3,multi,"Rabies is caused by a rhabdovirus, a minus-sense, single-stranded, non-segmented RNA virus with an enveloped, bullet-shaped virion). The virus infects a wide range of warm-blooded animals, including humans. The virus is widely disseminated within the infected animals, with high levels in saliva. If the animal is captured or killed, examination of its brain for rabies virus can be done in time to determine whether rabies prophylaxis is necessary. The best means to prevent rabies begins with scrupulous wound care, including washing and probing for any foreign bodies (e.g., broken teeth) in the wound. If the animal is not available, or tests positive for rabies, and if the person has not been immunized with rabies vaccine, the treatment of choice is to give human rabies immunoglobulin (HRIg) plus rabies vaccine at separate sites (d). The HRIg should be infused into the wound and the remainder given as a deep IM injection. After onset of symptoms, neither of these should be given. Broad-spectrum antibiotics (a) may be given as part of wound care to prevent bacterial infection, but they will not prevent rabies. Acyclovir (b) and ribavirin (c), regardless of dosage or route of administration, have no role in rabies prophylaxis. Tetanus immune globulin and/or tetanus toxoid vaccine (e) may also be part of the wound care regimen, but are given to prevent tetanus, not rabies.",Microbiology,Virology
