,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,llm_label,llm_reason
3527,a65f7782-fccd-4f5d-b322-ea198969eec9,"A newborn male, normal at bih staed developing cyanosis. On auscultation a continuous murmur was audible. The child was put on supplemental oxygen but no improvement was noted rather the oxygen saturation of the neonate kept falling fuher. Pediatrician on call made a provisional diagnosis of a Duct dependant lesion. What is the next line of management?",Administer prostaglandin inhibitor,Administer PGG2,Administer PGE1,Take the baby to OR immediately for surgical management of the defect,2,multi,Image shows a cyanosed child. An infant or a newborn with CHD that is dependent on the patency of the ductus aeriosus for survival can be termed as having a duct-dependent lesion. Neonates with duct-dependent physiology require prostaglandin El (PGEl) for survival. Early recognition of a duct-dependent situation allows early initiation of PGEl and stabilization until definitive procedure is accomplished,Unknown,Integrated QBank,True,"The question asks for the next line of management based on the provided clinical scenario, which can be determined without needing options."
3530,62e3b07f-bfb2-4a99-a523-8bcf14b9e2e8,A 7 years old child from Bihar is having hypo pigmented anesthetic patch on his face. What is the most probable diagnosis?,Intermediate leprosy,Pityriasis alba,Nevus anemicus,Nevus achromicus,0,single,ANSWER: (A) Intermediate leprosyREF: Rook's Dermatology 7th edp. 29.1-29.19Recurrent scaly hypopigmented macule on face of a child - P. albaRecurrent scaly hypopigmented macule on face of an adult - P. versicolorResident of endemic zone with anesthetic patch over face - Indeterminate leprosy,Skin,Skin Lesions,True,The question can be answered based on general medical knowledge without referencing specific options.
3536,d1bbdc59-4f0a-488f-8271-7c7d7d96a41f,"A child presents with seborrheic dermatits, lytic skull lesions, ear discharge and hepatosplenomegaly, likely diagnosis -",Leukemia,Lymphoma,Histiocytosis X,Multiple myeloma,2,single,,Medicine,,True,The question provides sufficient clinical features to suggest a diagnosis without needing options.
3541,6e2bd1fd-ad6f-4c42-8551-7294c3240dae,A patient presented with episodes of flushing and hypotension. His urinary 5HIAA levels were found to be increased. The diagnosis is,Pheochromocytoma,Carcinoid syndrome,Addison's disease,SIADH,1,single,"(B) Carcinoid syndrome # Carcinoid syndrome-Clinical findings include:> Flushing of the skin> Diarrhea and abdominal cramps> Right sided heart disease> Bronchoconstriction> Abdominal pain due to desmoplastic reaction of the mesentery in most patients, increased urinary excretion of 5-HIAA (5-hydroxy-indoleacetic acid), a degradation product of serotonin> Serotonin causes fibrosis of the tricuspid valve and pulmonary valve> ""TIPS"" - Tricuspid Insufficiency, Pulmonic Stenosis (fibrosis of tricuspid and pulmonary valves)",Surgery,Miscellaneous,True,The question can be answered based on the information provided without needing specific options.
3542,82f9c400-1275-4ab4-a23a-8b5c41135b78,"A 57-year-old male is admitted to the hospital for a suspected kidney infection (likely pyelonephritis). The patient is placed on intravenous antibiotic therapy but continues to have a temperature of 103degF after 3 days of therapy. The urine culture grows lactose fermenting GNB which is pan drug sensitive On examination, he appears ill and has marked left flank tenderness. Ultrasound depicts the following finding What is the most likely diagnosis?",Hydronephrosis,Nephrolithiasis,Emphysematous pyelonephritis,Perinephric abscess,3,single,"1st image shows the pink colonies suggestive of E. coli on MacConkey agar (Lactose fermenters) 2nd image USG-KUB suggestive of a perinephric abscess. This 55-year-old male who is suspected of having kidney infection is not improving despite appropriate antibiotic therapy. Pyelonephritis is an infection of the kidney parenchyma usually caused by an ascending infection of bacteria. Manifests as fever, flank tenderness, white cells in the urine, and serum leukocytosis. E. coli is isolated, which is the bacterium that most often causes urinary tract infections. The ultrasound examination is performed to rule out complications of pyelonephritis. The two most common complications would be a nephrolithiasis or ureterolithiasis (kidney stone) and perinephric abscess. Intervention is required before improvement is seen. The abscess must be drained, usually by placement of a percutaneous catheter under radiologic guidance.",Unknown,Integrated QBank,True,The question describes a clinical scenario that allows for a diagnosis based on provided information without needing options.
3543,16c6d79c-df9c-4067-8c4d-47d1504eac95,A pregnant woman with fibroid uterus develops acute pain in abdomen with low grade fever and mild leucocytosis at 28 weeks. The most likely diagnosis is?,Preterm labour,Torsion of Fibroid,Red degeneration of Fibroid,infection in Fibroid,2,single,"Most are asymptomatic; however, severe localized abdominal pain can occur if a fibroid undergoes so-called “red degeneration,” torsion, or impaction.
Pain is the most common complication of fibroids in pregnancy, and is seen most often in women withfibroids > 5 cm during the second and third trimesters of pregnancy.",Gynaecology & Obstetrics,,True,The question can be answered based on medical knowledge without needing options.
3547,329fb8a4-1832-4837-81f0-b057bce2598c,A 24 year old male complained of recurrent attacks of sore throat since 2 years. The total leucocyte count was 3000/ μl. A differential count revealed severe neutropenia. The diagnosis is,Subleukemicleukemia,Agranulocytosis,Infectious mononucleosis,Leukoerythroblasticanemia,1,single,,Pathology,,True,The question provides enough information to deduce a diagnosis without options.
3548,e2ff2fab-fe59-4c36-9b83-df821ae85586,A 3 year old boy with normal developmental milestones with delayed speech and difficulty in communication and concentration. He is not making friends. Most probable diagnosis is,Autism,ADHD,Mental retardation,Specific learning disability,0,single,"Ans. is 'a' Autism ""Difficulty in concentration and communication, delayed speech and problems in forming social relationship in early childhood suggests the diagnosis of Autism""Essentials of Diagnosis and Typical Features of AutismOnset in infancy or early childhood (before age of 3 years)Abnormal language and speech development (Abnormal communication)Inability to develop normal social skill (lack of eye contact gestures and facial expression)Understand little or no language (therefore fail to acquire speech)Deficient comprehension and communicative use of speech and gesture.Behavioural peculiarities such as ritualized repetitive or stereotyped behaviour and rigidity.Difficulty in concentrationSevere deficit in social responsiveness and interpersonal skillsIntrusive stereotypes (Repetitive behaviour) together with inability to concentrate may prevent children from engaging in meaningful activity or social interaction (difficulty in making friends)Do not engage in pretended play (which starts before age of 2 in normal children)Also knowAbout 75% of children with autism are mentally retardedEpilepsy develops in one fifth to one third of autistic individuals.EEG abnormalities are noted in half of the patients.",Pediatrics,Developmental-Behavioral Screening and Surveillance,True,The question can be answered based on medical knowledge without referencing specific options.
3549,38afd1d7-2d37-4a23-baf4-189170a6047e,A middle aged man presented with a swelling over the neck since childhood. Neck swelling has a bag of worm appearance. Most probable diagnosis is:,Plexiform neurofibroma,Toxic nodular goitre,Vasculitis,Lymphangioma,0,single,"Plexiform neurofibroma- special type of neurofibroma, is the plexiform variant,which involves an entire large nerve and its branches,forming a mass of tangled,rope like structures that feel like a ""bag of worms"" on palpation and that can reach enormous size and be associated with massive soft tissue overgrowth leading to significant functional impairment.A plexiform neurofibroma is considered to be pathognomic of NF1",Surgery,NEET Jan 2020,True,The question describes a clinical scenario and asks for the most probable diagnosis without referencing specific options.
3554,f0fd0554-2e8e-41f2-ac51-d6f1aae29218,Sexually active males comes with complaints of recurrent ulcers over the glans which heals with hyperpigmentation probable diagnosis is,Aphthous ulcer,Fixed drug eruptions,Herpes-genitalis,Chlamydial infection,1,multi,"Fixed drug eruptions Fixed drug eruptions Fixed drug eruptions are a unique form of drug allergy that produces red plaques or blisters that recur at the same cutaneous or mucosal site each time the drug is ingested. Clinical manifestations:? ""The lesions appear at the same cutaneous or mucosal site each time the drug is ingested"". - Single or multiple, round sharply demarcated, dusky red plaques appear soon after drug exposure and reappear in exactly the same location each time the drug is taken. Most common site for fixed drug eruptions is male genitalia0 - Lesions can occur on any pa of the skin, mucous membranes lips, hands, genitalia (especially male genitalia) and occasionally oral mucosa are oured sites. Reactivation and refractory phase - The length of the time from the reexposure to a drug and the onset of symptoms is 30 'ninnies to 8 hours following each exacerbations. Some patients demonstrate a refractory period (weeks to several months) during which the offending drug does not activate the lesions. Cross sensitivity - Ingestion of drugs with similar chemical nature may precipitate exacerbations. - This phenomenon has been repoed with tetracycline and sulfonamides. Diagnosis - Taking a careful history is impoant because patients often do not relate their complaints to the use of a drug. - Provoking the lesion with the suspected drug confirms the diagnosis. Treatment - Topical steroids are useful. Drugs associated with fixed drug eruptions :- - Tetracycline - Phenolphthalein - Sulphonamides - Barbiturates - Quinine",Skin,,True,The question can be answered based on provided symptoms without needing specific options.
3557,1e297932-ad59-47d0-a2ee-d129fbfb2c1a,"Eight days after undergoing a hysterectomy, a 64-year-old woman complains of chest pain. After 12 hours, the internist orders tests to exclude MI. Which test will most likely support this diagnosis?",Serum glutamic oxaloacetic transaminase (SGOT) elevation,Increased sedimentation rate,"Tc 99m pyrophosphate scintigraphy showing a ""hot spot""","Thallium 201 (Tl 201) scintigraphy showing a (""hot spot"")",2,multi,"99mTc pyrophosphate scintigraphy showing a ""hot spot"". Following injection of 99mTc pyrophosphate, scintigraphy may show a hot spot in the infarcted area. The hot spot is developed as the radiotracer forms a complex with calcium in necrotic tissue. The test should be requested within the first 18 hours following the onset of acute MI. It is not sensitive enough to detect small infarctions. Following 201Tl scintigraphy, a ""cold spot"" occurs because of hypoperfusion. The test is performed where exercise or dipyridamole (Persantine) injection can be given. SGOT levels are elevated in liver disease. The HIDA scan is used to exclude gallbladder disease. Cardiac enzyme levels and ECG findings are useful to establish a diagnosis of MI.",Surgery,Heart & Pericardium,True,The question can be answered based on medical knowledge without needing specific options.
